image,image_url,product_id,title,color,fit,pattern,material,price,rating,category,product_url,wear_type
female_00120.webp,https://assets.newme.asia/wp-content/uploads/2026/01/3107034134c728e1/NM-IN-56-DRS-25-DEC-22277-RED(0).webp,9190312,Red Solid Off-Shoulder Mini Dress,,,Solid,,999,4.4,Dresses,https://newme.asia/product/red-solid-off-shoulder-mini-dress,upper wear
female_00121.webp,https://assets.newme.asia/wp-content/uploads/2025/10/01100320c1b22a0a/NM-IN-56-DRS-25-SEP-21614-LIGHTBLUE_(1).webp,7797662,Light Blue Solid Round Neck Midi Dress,,,Solid,,699,5.0,Dresses,https://newme.asia/product/light-blue-solid-round-neck-midi-dress,upper wear
female_00122.webp,https://assets.newme.asia/wp-content/uploads/2025/05/291555451daf8b21/NM-PRC-176-DRS-25-MAY-16777-GREY_(1).webp,6650719,Colorblocked Grey Lace Midi Dress,,,,,1099,4.6,Dresses,https://newme.asia/product/colorblocked-grey-lace-midi-dress,upper wear
female_00123.webp,https://assets.newme.asia/wp-content/uploads/2025/05/28122202d6f2f80a/NM-IN-56-DRS-25-JAN-12356-BLACK(1).webp,3972684,Black Floral Back Detail Playsuit,,,Floral,,799,4.5,Dresses,https://newme.asia/product/black-floral-back-detail-playsuit,upper wear
female_00124.webp,https://assets.newme.asia/wp-content/uploads/2025/07/221658165a1694fe/NM-IN-56-DRS-24-NOV-10890-BLACK_(1).webp,3664848,Black Sequinned Bodycon Mini Dress,,Bodycon,,,1149,4.7,Dresses,https://newme.asia/product/black-sequinned-bodycon-mini-dress-2,upper wear
female_00125.webp,https://assets.newme.asia/wp-content/uploads/2024/11/2112344863cebbd8/NM-PRC-4-DRS-24-NOV-10975-BLUE_(1).webp,3404151,Blue High Neck Bodycon Dress,,Bodycon,,,1299,5.0,Dresses,https://newme.asia/product/blue-high-neck-bodycon-dress-2,upper wear
female_00126.webp,https://assets.newme.asia/wp-content/uploads/2026/06/261131181dd7f435/NM-PRC-445-DRS-26-JUN-35015-BLACK(1).webp,10993656,Black Ruched Halter Mini Dress,,,Ruched,,999,4.4,Dresses,https://newme.asia/product/black-ruched-halter-mini-dress-7,upper wear
female_00127.webp,https://assets.newme.asia/wp-content/uploads/2026/05/29171951829020d1/NM-PRC-185-DRS-26-MAY-34013-LIGHTPINK(1).webp,10682127,Light Pink Floral Maxi Dress,"Lightpink, Yellow, Light Blue",,Floral,,1499,5.0,Dresses,https://newme.asia/product/light-pink-floral-maxi-dress-19,upper wear
female_00128.webp,https://assets.newme.asia/wp-content/uploads/2026/04/161010424f33c0da/NM-IN-56-DRS-24-JUN-6896-YELLOW(0).webp,7005033,Yellow Fitted High Neck Maxi Dress,"Yellow, White, Black, Pink, Blue, Brown",,,,599,4.8,Dresses,https://newme.asia/product/yellow-fitted-high-neck-maxi-dress,upper wear
female_00129.webp,https://assets.newme.asia/wp-content/uploads/2026/04/041154163c1b35a7/NM-PRC-425-DRS-26-APR-32606-BROWN(1).webp,9927807,Brown Abstract Cowl Neck Midi Dress,"Brown, Dark Blue",,,,1199,4.9,Dresses,https://newme.asia/product/brown-abstract-cowl-neck-midi-dress,upper wear
female_00130.webp,https://assets.newme.asia/wp-content/uploads/2026/01/021540387f077cc0/NM-PRC-75-DRS-26-JAN-29574-WINE(1).webp,8921157,Wine One Shoulder Ruched Maxi Dress,"Wine, Dark Blue, Yellow, Red",,Ruched,,1549,4.9,Dresses,https://newme.asia/product/wine-one-shoulder-ruched-maxi-dress-4,upper wear
female_00131.webp,https://assets.newme.asia/wp-content/uploads/2026/05/161045210cceb753/NM-PRC-414-DRS-26-APR-32495-LIGHTPINK(1).webp,10496593,Light Pink Floral A-Line Maxi Dress,"Lightpink, Yellow, Light Blue",,Floral,,1049,4.8,Dresses,https://newme.asia/product/light-pink-floral-a-line-maxi-dress,upper wear
female_00132.webp,https://assets.newme.asia/wp-content/uploads/2025/06/051042491c626055/NM-IN-56-DRS-25-FEB-14136-BEIGE(1).webp,6709906,Beige Leopard Print Maxi Dress,,,,,699,4.8,Dresses,https://newme.asia/product/beige-leopard-print-maxi-dress-4,upper wear
female_00133.webp,https://assets.newme.asia/wp-content/uploads/2025/01/13102441560e4f52/NM-IN-56-DRS-23-DEC-2990-BLACK_(1).webp,3954811,Off Shoulder Party Dress With Back Slit,,,,,1349,4.8,Dresses,https://newme.asia/product/offshoulder-party-dress-with-back-slit,upper wear
female_00134.webp,https://assets.newme.asia/wp-content/uploads/2026/06/0415135660d57383/NM-PRC-408-DRS-26-JUN-34248-PINK(1).webp,10743661,Pink Sweetheart Floral Mini Dress,"Pink, Orange, Light Blue, Lightpink",,Floral,,949,5.0,Dresses,https://newme.asia/product/pink-sweetheart-floral-mini-dress,upper wear
female_00135.webp,https://assets.newme.asia/wp-content/uploads/2026/06/15063838aeb08756/NM-PRC-390-DRS-26-JUN-34463-BROWN(1).webp,10826711,Brown Sequined Leopard Mini Dress,"Brown, Pink",,,,1099,5.0,Dresses,https://newme.asia/product/brown-sequined-leopard-mini-dress,upper wear
female_00136.webp,https://assets.newme.asia/wp-content/uploads/2026/04/01140923887b156e/NM-PRC-105-DRS-26-APR-32438-MAROON(1).webp,9902880,Maroon Lace Semi Sweetheart Mini Dress,"Maroon, White",,,,1349,5.0,Dresses,https://newme.asia/product/maroon-lace-tulip-mini-dress,upper wear
female_00137.webp,https://assets.newme.asia/wp-content/uploads/2026/04/131247156107b4de/NM-IN-56-DRS-25-DEC-28630-BLACK(0).webp,10014149,Black V-Neck Ruched Glitter Midi Dress,,,Ruched,,899,4.8,Dresses,https://newme.asia/product/black-v-neck-ruched-glitter-midi-dress,upper wear
female_00138.webp,https://assets.newme.asia/wp-content/uploads/2026/03/09071132184f5b53/NM-PRC-185-DRS-26-FEB-30972-WINE(1).webp,9668731,Wine One-Shoulder Maxi Dress,"Wine, Darkgreen, Dark Blue",,,,1149,4.8,Dresses,https://newme.asia/product/wine-one-shoulder-maxi-dress,upper wear
female_00139.webp,https://assets.newme.asia/wp-content/uploads/2026/06/111110469310f01b/NM-IN-56-DRS-26-JUN-22755-BLUE(0).webp,10762852,Blue Tie-Up Denim Mini Dress,,,Denim,Denim,849,4.8,Dresses,https://newme.asia/product/blue-tie-up-denim-mini-dress,upper wear
female_00140.webp,https://assets.newme.asia/wp-content/uploads/2026/02/05093649752674f2/NM-IN-56-DRS-25-DEC-27775-WHITE(0).webp,9362120,White Polka Dot Tiered Mini Halter Dress,"White, Lightpink, Red, Lightyellow, Darkbrown, Light Blue, Off White",,,,1099,5.0,Dresses,https://newme.asia/product/white-polka-dot-tiered-mini-halter-dress,upper wear
female_00141.webp,https://assets.newme.asia/wp-content/uploads/2026/01/1412560228969b08/NM-IN-56-DRS-25-AUG-23650-BLACK(1).webp,9074105,Black Scoop Neck Slit Maxi Dress,,,,,749,4.8,Dresses,https://newme.asia/product/black-scoop-neck-slit-maxi-dress,upper wear
