image,image_url,product_id,title,color,fit,pattern,material,price,rating,category,product_url
00112.webp,https://d2wbq7o4qxi60y.cloudfront.net/8065544847522/1-800.webp,8065544847522,Nordic Beige Polo T-Shirt,['Beige'],Slim Fit,"Textured, Self-Design",Cotton,1299.0,4.4,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/nordic-beige-polo-t-shirt/8065544847522/buy
00113.webp,https://d2wbq7o4qxi60y.cloudfront.net/7235474555042/1-800.webp,7235474555042,Raw Edge Olive T-Shirt,['Olive'],Slim Fit,Plain,Cotton Blend,509.0,4.6,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/raw-edge-olive-t-shirt/7235474555042/buy
00114.webp,https://d2wbq7o4qxi60y.cloudfront.net/8209523146914/1-800.webp,8209523146914,Pinnacle Navy Polo T-Shirt,['Navy'],Slim Fit,"Textured, Self-Design",Polyester,999.0,4.4,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/pinnacle-navy-polo-t-shirt/8209523146914/buy
00115.webp,https://d2wbq7o4qxi60y.cloudfront.net/7235473768610/1-800.webp,7235473768610,Raw Edge Mint Green T-Shirt,['Green'],Slim Fit,Plain,Cotton Blend,599.0,4.5,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/raw-edge-mint-green-t-shirt/7235473768610/buy
00116.webp,https://d2wbq7o4qxi60y.cloudfront.net/9222067355810/1-800.webp,9222067355810,100% Cotton Oversized T-Shirt,['Blue'],Oversized Fit,Plain,Cotton,1099.0,4.4,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/oversized-100-cotton-t-shirt-4rn002-06/9222067355810/buy
00117.webp,https://d2wbq7o4qxi60y.cloudfront.net/9223561904290/1-800.webp,9223561904290,100% Cotton Zipper Polo T-Shirt,['Blue'],Regular Fit,Plain,Cotton,1099.0,4.6,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/zipper-100-cotton-regular-fit-zip-collar-t-shirt-4pl011-03/9223561904290/buy
00118.webp,https://d2wbq7o4qxi60y.cloudfront.net/9223561937058/1-800.webp,9223561937058,100% Cotton Zipper Polo T-Shirt,['Olive'],Regular Fit,Plain,Cotton,1099.0,4.6,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/zipper-100-cotton-regular-fit-zip-collar-t-shirt-4pl011-04/9223561937058/buy
00119.webp,https://d2wbq7o4qxi60y.cloudfront.net/8160835928226/1-800.webp,8160835928226,Quintet White Polo T-Shirt,['White'],Slim Fit,"Textured, Self-Design",Polyester,1129.0,4.5,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/quintet-white-polo-t-shirt/8160835928226/buy
00120.webp,https://d2wbq7o4qxi60y.cloudfront.net/8615680966818/1-800.webp,8615680966818,Slim Fit 4-Way Stretch Black T-Shirt,['Black'],Slim Fit,Solid,Cotton Blend,719.0,4.5,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/slim-fit-4-way-stretch-black-t-shirt-4mst2683-10/8615680966818/buy
00121.webp,https://d2wbq7o4qxi60y.cloudfront.net/9233084219554/1-800.webp,9233084219554,Slim Fit 100% Cotton Polo T-Shirt,['Green'],Slim Fit,Plain,Cotton,1199.0,4.2,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/polo-100-cotton-slim-fit-t-shirt-4pl003-03/9233084219554/buy
00122.webp,https://d2wbq7o4qxi60y.cloudfront.net/8460202639522/1-800.webp,8460202639522,PINK Zipper Polo T-Shirt,['White'],Slim Fit,Plain,Cotton,1129.0,4.5,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/white-zipper-polo-t-shirt-4mst2418-03/8460202639522/buy
00123.webp,https://d2wbq7o4qxi60y.cloudfront.net/9165857390754/1-800.webp,9165857390754,100% Cotton Oversized T-Shirt,['Black'],Oversized Fit,Plain,Cotton,1099.0,4.4,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/oversized-100-cotton-t-shirt-4rn002-01/9165857390754/buy
